StudNr;A1;A2;A3;A4;A5;A6;A7;A8;A9;Version
241;4;4;4;4;3.5;4;4;1.5;3.5;B
242;2.5;3;3.5;3.5;1;4;4;2;1.5;B
243;1;2;1;1;2;1;0.5;1;0;A
244;2.5;1.5;3.5;2.5;1;4;2;4;0.5;B
245;2;3.5;0;4;3.5;2.5;1;1;0;A
246;1.5;2;0;0.5;2.5;3.5;3.5;1;0;A
247;3;3.5;4;2;1;2;3.5;3;1.5;A
248;1.5;2;1.5;1;4;1;2;0.5;0;A
249;2;2.5;1.5;1.5;3;2;3.5;1;0;A
250;3.5;3;4;4;3;2;4;3.5;4;B
251;0.5;3;4;1;3;1.5;3.5;3;2;A
252;4;3.5;4;4;1;4;3;3.5;3;B
253;1.5;3;4;2.5;4;2;3.5;3.5;3;A
254;1;1.5;0;0;1;0;0.5;0;0;A
255;1;3;3.5;4;3.5;3;3.5;0;0;A
256;2.5;1;4;3.5;2;3.5;0;0.5;0.5;B
257;3;3.5;3.5;2;3;1;3.5;3;0.5;A
258;3;3.5;4;3.5;4;3;4;3.5;0;B
259;2.5;1;4;0.5;0.5;2;0;0;1;B
260;3.5;3;1.5;3;4;3;1;4;4;A
261;1.5;3;2;2;3.5;1;4;3;0;A
262;2.5;3;0.5;4;0.5;2.5;1.5;3.5;0.5;B
263;3.5;4;3.5;4;2;4;3.5;1.5;4;B
264;3.5;2;4;3;1.5;2.5;3.5;0.5;2;B
265;1;3;2;1;4;0.5;3.5;0.5;0;A
266;1.5;2.5;3.5;4;4;4;3.5;3.5;1.5;A
267;3;1;4;3;1;4;3.5;3.5;0;B
268;1;2.5;0.5;2;3.5;1.5;2.5;1;0;A
269;1.5;2;2.5;2;2;4;0.5;2;0;A
270;3;1.5;3.5;4;1.5;2.5;3;2;1;B
271;1.5;3.5;4;2.5;3;0.5;2;2.5;1.5;A
272;4;4;4;4;4;4;4;4;4;B
273;3.5;4;3;4;3;4;4;4;2;A
274;1.5;3;2;1;2;0;0.5;0;0;A
275;3;4;2;4;4;2;3.5;2.5;2;A
276;1;1.5;0;2;0;0;0;0;0;A
277;2;1.5;3.5;3;2;2.5;3.5;2;1;B
278;3.5;3.5;2;3;3;0.5;0.5;3.5;0;A
279;4;2.5;2;3;2.5;1;2.5;2.5;0;A
280;3;2;2;2;0;0;1;2.5;0.5;A
281;3.5;1;3.5;3;1;3.5;4;3.5;0;B
282;2.5;3.5;3;3;2;2.5;2.5;1.5;3;B
283;3.5;3.5;3.5;3;3;3;2;2.5;3.5;A
284;3;2.5;3;3;1.5;3;2;3.5;2;B
285;1.5;1;0.5;1;0.5;1;1.5;1;0;B
286;2.5;2.5;4;2;3.5;1.5;3.5;1.5;0;A
287;3.5;3;2;2;1;4;2.5;0;0;B
288;3.5;1;2.5;1;1.5;3;2;1.5;0;B
289;1.5;4;3.5;3;3;2.5;3.5;4;3;A
290;2;0;3;2;2;1;0;1;0;B
291;2.5;2;3;3;2.5;0;2;1.5;1;A
292;4;4;4;4;4;4;3.5;4;4;A
293;4;4;3.5;4;3;2;3.5;4;2.5;A
294;1;2;4;2;1;4;2;3.5;0;B
295;3.5;3.5;3.5;3.5;3;3.5;1.5;3;1;A
296;3.5;4;4;4;4;3;4;4;3.5;A
297;4;4;3.5;4;3;2;1.5;3.5;3.5;A
298;2.5;1.5;3.5;2.5;0;4;0;2;0;B
299;4;4;4;3.5;4;4;3.5;3.5;3;B
300;0;2;0.5;0;2.5;1.5;0.5;0.5;0;A
301;1;2;3.5;2;3.5;0;0;3;0;A
302;4;4;4;4;4;2;3.5;3.5;2;A
303;1;2.5;3.5;2;3;2.5;2.5;2;0;A
304;3.5;3.5;3.5;1.5;3.5;1;3.5;2;0;A
305;3.5;3;3.5;2;3;2;3.5;3.5;2;A
306;4;3;3.5;3.5;3.5;4;3.5;3.5;2.5;B
307;2.5;1;3;2;1.5;0;3;1;1.5;B
308;4;4;4;4;2;3;3.5;3.5;0;B
309;3;4;4;4;3.5;3.5;3.5;3.5;3.5;A
310;0;3.5;1;1.5;1;0.5;2.5;2;2;A
311;1;3.5;4;4;3;1.5;4;1;1;A
312;3.5;4;4;3.5;3.5;3;3;3.5;2;B
313;1.5;1;1.5;0;0.5;2;1.5;2.5;0;B
314;3;2.5;1.5;3.5;4;2.5;0.5;1;0;B
315;2.5;1;2;1.5;0.5;2.5;2;1;0;B
316;1.5;3;2;1;3;1.5;2;1;0;A
317;3;2;2.5;3;2.5;0;1.5;3;0;A
318;3.5;3.5;3.5;3;4;3;2.5;2.5;2;A
319;1.5;1;3;1;0;2;1;4;0;B
320;3;4;4;2.5;1;4;3.5;1.5;1;B
321;4;4;4;3;3.5;4;3.5;3.5;0;B
322;2.5;1;4;2;1;4;1.5;3;1.5;B
323;2;2.5;2;2;2;1.5;0;2.5;0;A
324;1;3.5;0;0;2;0.5;3.5;1;0;A
